,team,drives,Year,catchshootattempt,passes,potentialasst,pullupfgattempt,distance,speed,touches,elbowtouches,postups,painttouches
227,Minnesota Timberwolves,45.7,2021,27.8,295.6,49.3,19.7,18.35,4.26,420.9,9.9,8.5,21.9
228,New Orleans Pelicans,51.6,2021,24.8,291.6,46.5,20.5,18.36,4.28,416.3,12.3,7.2,24.9
229,New York Knicks,50.7,2021,24.1,276.2,39.4,25.4,17.99,4.21,394.4,7.4,6.4,19.0
230,Oklahoma City Thunder,61.7,2021,26.8,286.1,42.9,19.4,18.10,4.28,408.8,6.6,4.0,20.2
231,Orlando Magic,43.5,2021,27.3,269.5,43.7,25.0,18.14,4.26,392.2,12.1,11.1,20.1
232,Philadelphia 76ers,44.8,2021,25.2,308.0,42.0,23.3,18.02,4.19,430.7,8.7,14.9,19.3
233,Phoenix Suns,43.5,2021,29.5,284.2,50.1,25.9,17.79,4.17,402.6,11.7,8.9,24.3
234,Portland Trail Blazers,30.7,2021,22.5,244.6,39.3,34.5,17.05,4.06,364.6,7.5,8.0,17.4
235,Sacramento Kings,50.5,2021,25.0,279.5,45.4,23.3,18.01,4.26,399.4,11.3,6.7,22.2
236,San Antonio Spurs,55.5,2021,25.8,262.4,43.3,26.7,18.13,4.27,380.7,9.0,5.0,18.7
237,Toronto Raptors,51.2,2021,29.1,291.4,47.3,22.2,18.19,4.23,412.3,9.0,5.2,20.0
238,Utah Jazz,53.2,2021,27.2,289.4,44.9,25.8,17.98,4.22,411.2,8.7,2.6,20.7
239,Washington Wizards,47.2,2021,24.8,267.5,46.6,23.7,18.03,4.26,391.8,9.3,7.8,24.8
240,Atlanta Hawks,44.5,2022,23.4,262.4,43.9,27.6,17.57,4.10,384.1,9.0,5.5,23.5
241,Boston Celtics,48.1,2022,28.4,293.8,45.4,21.3,17.52,4.03,414.9,8.7,6.5,21.3
242,Brooklyn Nets,39.5,2022,24.5,264.7,44.7,27.9,17.50,4.08,387.5,13.2,6.1,23.0
243,Charlotte Hornets,55.3,2022,28.4,299.8,50.4,22.3,18.66,4.31,425.6,9.9,4.0,23.7
244,Chicago Bulls,41.6,2022,27.0,274.6,46.0,26.5,17.87,4.18,393.5,12.7,6.9,18.9
245,Cleveland Cavaliers,42.5,2022,27.3,304.1,49.8,19.1,17.64,4.13,424.1,14.1,9.0,28.9
246,Dallas Mavericks,46.3,2022,28.6,290.8,46.4,26.0,17.64,4.11,409.0,8.2,7.8,21.1
247,Denver Nuggets,32.0,2022,29.1,314.2,50.4,19.8,17.59,4.10,434.6,15.9,12.9,24.0
248,Detroit Pistons,49.9,2022,28.6,305.2,46.6,19.9,18.23,4.24,428.5,9.6,6.3,21.8
249,Golden State Warriors,38.3,2022,29.3,311.9,52.3,21.3,17.86,4.17,432.4,8.8,5.3,22.3
250,Houston Rockets,45.8,2022,26.3,277.9,45.9,17.1,17.56,4.09,402.4,9.9,6.1,21.4
251,Indiana Pacers,50.4,2022,26.3,312.9,46.7,23.9,18.43,4.26,436.2,11.1,5.6,24.6
252,LA Clippers,41.4,2022,25.2,276.8,43.8,27.7,17.57,4.09,396.7,12.8,5.9,21.9
253,Los Angeles Lakers,42.3,2022,26.7,283.5,47.1,23.2,17.43,4.01,407.9,11.4,10.9,24.0
254,Memphis Grizzlies,47.1,2022,25.6,276.3,47.6,21.9,18.17,4.21,402.9,15.0,4.0,25.8
255,Miami Heat,40.4,2022,28.2,297.4,50.8,22.4,18.12,4.18,417.3,11.4,6.4,26.9
256,Milwaukee Bucks,42.8,2022,29.1,259.3,46.2,25.3,18.04,4.20,383.6,8.3,9.5,22.2
257,Minnesota Timberwolves,40.4,2022,29.8,282.4,49.3,21.0,18.01,4.16,408.4,10.7,6.7,21.0
258,New Orleans Pelicans,42.8,2022,28.0,302.5,48.1,20.0,17.92,4.17,424.2,9.8,8.6,24.1
259,New York Knicks,46.4,2022,24.2,277.9,41.2,27.7,17.88,4.16,398.5,7.3,5.8,20.0
260,Oklahoma City Thunder,63.1,2022,29.8,297.6,45.6,20.1,18.24,4.25,419.6,8.1,1.3,20.8
261,Orlando Magic,45.4,2022,28.8,283.3,46.4,19.6,18.16,4.24,404.6,9.2,4.7,18.5
262,Philadelphia 76ers,41.0,2022,24.4,306.2,41.4,25.6,17.77,4.15,423.2,7.1,11.5,15.8
263,Phoenix Suns,42.2,2022,25.5,259.4,50.4,28.1,17.66,4.13,380.6,12.2,4.5,26.0
264,Portland Trail Blazers,39.5,2022,26.8,276.3,45.7,24.1,17.74,4.14,397.2,11.4,6.7,18.1
265,Sacramento Kings,52.4,2022,23.6,283.4,43.6,25.6,18.28,4.26,405.7,11.0,3.4,22.1
266,San Antonio Spurs,54.1,2022,27.9,286.0,50.9,23.3,18.80,4.38,410.1,13.6,3.7,23.2
267,Toronto Raptors,44.0,2022,25.9,279.0,44.2,27.8,18.16,4.22,401.6,9.5,6.7,25.3
268,Utah Jazz,51.9,2022,24.2,269.1,42.1,24.4,17.57,4.10,389.6,7.1,3.9,21.4
269,Washington Wizards,49.1,2022,24.5,284.9,44.3,22.1,17.90,4.16,403.4,10.6,4.6,21.6
